,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,SrcState_F,DstState_F,SrcState_S,DstState_S,SrcState_P,DstState_P,SrcState_A,DstState_A,SrcState_R,DstState_R,SrcState_C,DstState_C,SrcState_E,DstState_E,->,>,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,Label
59295,1,0,0.806525,0,0.0,0.0,556,4098,11,4654,5770.434890424971,423.09090909090907,13.638758872942562,0.13567593948267448,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
61534,1,0,2.935939,0,0.0,0.0,122,60,3,182,61.99038876488918,60.66666666666666,1.021819595025646,2.033333333333333,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
61905,1,0,6.008705,0,0.0,0.0,124,0,2,124,20.636726216381067,62.0,0.33285042284485594,1386.6945540647198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
64210,1,0,61.236595,0,0.0,0.0,437,639,10,1076,17.57119251976698,107.6,0.16330104572274146,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
69433,1,0,61.287251,0,0.0,0.0,437,639,10,1076,17.556669330787898,107.6,0.1631660718474712,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
74587,1,0,61.278423,0,0.0,0.0,437,639,10,1076,17.559198610577823,107.6,0.1631895781652214,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
76536,1,0,8.066583999999999,0,0.0,0.0,529,386,8,915,113.43091449862793,114.375,0.991745700534452,1.3704663212435233,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
76632,1,0,1.286142,0,0.0,0.0,557,424,10,981,762.7462597442586,98.1,7.775191230828322,1.3136792452830188,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
76728,1,0,0.8799950000000001,0,0.0,0.0,556,4098,11,4654,5288.666412877346,423.09090909090907,12.500071023130813,0.13567593948267448,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
78714,1,0,8.071528,0,0.0,0.0,529,386,8,915,113.36143540603464,114.375,0.9911382330582263,1.3704663212435233,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
78807,1,0,1.296903,0,0.0,0.0,557,424,10,981,756.4174036146111,98.1,7.710676897192773,1.3136792452830188,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
78858,1,0,0.88839,0,0.0,0.0,556,4098,11,4654,5238.690214883103,423.09090909090907,12.381949369083395,0.13567593948267448,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
80023,1,0,61.27065699999999,0,0.0,0.0,437,639,10,1076,17.561424223017553,107.6,0.16321026229570218,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
84445,1,0,61.278946,0,0.0,0.0,437,639,10,1076,17.559048747346274,107.6,0.16318818538425905,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
89523,1,0,61.269241,0,0.0,0.0,437,639,10,1076,17.561830086976272,107.6,0.1632140342655787,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
94293,1,0,61.26302,0,0.0,0.0,437,639,10,1076,17.563613416380715,107.6,0.16323060795892858,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
98803,1,0,61.271519,0,0.0,0.0,437,639,10,1076,17.561177159652267,107.6,0.16320796616777206,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
103883,1,0,61.287769,0,0.0,0.0,437,639,10,1076,17.556520943028616,107.6,0.16316469277907636,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
106621,1,0,139.740402,0,0.0,0.0,964,2610,16,3574,25.575996267707893,223.375,0.11449802470154626,0.3693486590038314,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
107262,1,0,1.938591,0,0.0,0.0,671,1942,10,2613,1347.8861709354887,261.3,5.158385652259812,0.3455200823892894,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
108317,1,0,4.90997,0,0.0,0.0,570,510,10,1080,219.96061075729588,108.0,2.036672321826814,1.1176470588235294,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
108845,1,0,135.719376,0,0.0,0.0,1027,13175,24,14202,104.64239092876466,591.75,0.17683547262993604,0.0779506641366224,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
109296,1,0,61.298306,0,0.0,0.0,437,639,10,1076,17.55350302828923,107.6,0.1631366452443237,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
114494,1,0,61.274448,0,0.0,0.0,437,639,10,1076,17.560337712059027,107.6,0.16320016461021405,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
119453,1,0,61.281803,0,0.0,0.0,437,639,10,1076,17.558230132360823,107.6,0.1631805774382976,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
120996,1,0,60.003036,0,0.0,0.0,500,1187,8,1687,28.11524403531848,210.875,0.1333265870080307,0.42122999157540014,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
124186,1,0,61.279179000000006,0,0.0,0.0,437,639,10,1076,17.55898198309739,107.6,0.1631875648986746,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
130069,1,0,61.273388,0,0.0,0.0,437,639,10,1076,17.56064149741483,107.6,0.1632029878941899,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
131814,1,0,5.9652970000000005,0,0.0,0.0,661,412,10,1073,179.87369279350213,107.3,1.6763624677865996,1.604368932038835,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
132159,1,0,4.60249,0,0.0,0.0,434,720,9,1154,250.73384189862443,128.22222222222223,1.9554632383774868,0.6027777777777777,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
134628,1,0,64.125343,0,0.0,0.0,572,699,12,1271,19.820556749302693,105.91666666666669,0.1871335019603716,0.8183118741058655,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
141167,1,0,61.295834,0,0.0,0.0,437,639,10,1076,17.554210943601813,107.6,0.16314322438291645,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
146755,1,0,61.282982,0,0.0,0.0,437,639,10,1076,17.557892336244343,107.6,0.16317743806918536,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
151829,1,0,61.280258,0,0.0,0.0,437,639,10,1076,17.55867281107074,107.6,0.16318469155270202,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
156711,1,0,61.29995,0,0.0,0.0,437,639,10,1076,17.553032261853392,107.6,0.1631322700915743,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
162533,1,0,61.283272,0,0.0,0.0,437,639,10,1076,17.557809250132728,107.6,0.16317666589342686,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
166754,1,0,61.27150699999999,0,0.0,0.0,437,639,10,1076,17.561180599001755,107.6,0.16320799813198655,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
171533,1,0,61.295368,0,0.0,0.0,437,639,10,1076,17.554344400053196,107.6,0.16314446468450927,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
175950,1,0,61.288223,0,0.0,0.0,437,639,10,1076,17.556390890954695,107.6,0.16316348411667933,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
181055,1,0,61.334972,0,0.0,0.0,437,639,10,1076,17.543009557418564,107.6,0.16303912228084164,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
185891,1,0,61.27474599999999,0,0.0,0.0,437,639,10,1076,17.560252310144218,107.6,0.16319937091212094,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
190063,1,0,61.281303,0,0.0,0.0,437,639,10,1076,17.55837339163627,107.6,0.16318190884420325,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
194343,1,0,71.067879,0,0.0,0.0,561,639,12,1200,16.88526542349744,100.0,0.16885265423497442,0.8779342723004695,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
200038,1,0,61.284763,0,0.0,0.0,437,639,10,1076,17.557382085331714,107.6,0.16317269596033193,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
205119,1,0,61.282768,0,0.0,0.0,437,639,10,1076,17.557953648568876,107.6,0.16317800788632786,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
209471,1,0,65.653351,0,0.0,0.0,499,639,11,1138,17.333464060349332,103.45454545454544,0.16754666490671588,0.7809076682316118,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
214814,1,0,61.299953,0,0.0,0.0,437,639,10,1076,17.553031402813634,107.6,0.1631322621079334,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
219527,1,0,61.29615,0,0.0,0.0,437,639,10,1076,17.55412044639019,107.6,0.16314238333076386,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
224240,1,0,61.299374,0,0.0,0.0,437,639,10,1076,17.553197199044803,107.6,0.16313380296510044,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
228315,1,0,61.281315,0,0.0,0.0,437,639,10,1076,17.558369953386286,107.6,0.16318187689020708,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
232663,1,0,61.300732,0,0.0,0.0,437,639,10,1076,17.552808341668744,107.6,0.163130189048966,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
238260,1,0,61.299438,0,0.0,0.0,437,639,10,1076,17.553178872537135,107.6,0.16313363264439715,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
242818,1,0,61.295757,0,0.0,0.0,437,639,10,1076,17.55423299527894,107.6,0.1631434293241537,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
247817,1,0,61.299351,0,0.0,0.0,437,639,10,1076,17.55320378514285,107.6,0.16313386417419004,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
253230,1,0,61.298725,0,0.0,0.0,437,639,10,1076,17.553383043448296,107.6,0.16313553014357152,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
257475,1,0,61.282032,0,0.0,0.0,437,639,10,1076,17.55816452039319,107.6,0.16317996766164675,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
262021,1,0,61.282764,0,0.0,0.0,437,639,10,1076,17.557954794597713,107.6,0.16317801853715344,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
266793,1,0,61.281399,0,0.0,0.0,437,639,10,1076,17.558345885674054,107.6,0.16318165321258413,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
270906,1,0,61.29855,0,0.0,0.0,437,639,10,1076,17.55343315624921,107.6,0.16313599587592206,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
275654,1,0,61.297215,0,0.0,0.0,437,639,10,1076,17.55381545474782,107.6,0.1631395488359463,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
280816,1,0,61.282116,0,0.0,0.0,437,639,10,1076,17.55814045324414,107.6,0.1631797439892578,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
286347,1,0,61.29851899999999,0,0.0,0.0,437,639,10,1076,17.55344203340378,107.6,0.16313607837735852,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
291098,1,0,61.300423,0,0.0,0.0,437,639,10,1076,17.552896820956686,107.6,0.16313101134718108,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
296062,1,0,61.28128100000001,0,0.0,0.0,437,639,10,1076,17.558379695098086,107.6,0.1631819674265621,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
300830,1,0,61.28326,0,0.0,0.0,437,639,10,1076,17.557812688163132,107.6,0.16317669784538225,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
306943,1,0,61.298515,0,0.0,0.0,437,639,10,1076,17.55344317884373,107.6,0.16313608902271126,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
312238,1,0,61.300037,0,0.0,0.0,437,639,10,1076,17.553007349734553,107.6,0.16313203856630626,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
316825,1,0,61.281513,0,0.0,0.0,437,639,10,1076,17.558313222455848,107.6,0.16318134965107664,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
320911,1,0,64.357124,0,0.0,0.0,499,639,11,1138,17.682580097892505,103.45454545454544,0.1709212487494003,0.7809076682316118,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
326237,1,0,61.29800400000001,0,0.0,0.0,437,639,10,1076,17.553589510027113,107.6,0.16313744897794713,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
332349,1,0,61.28426700000001,0,0.0,0.0,437,639,10,1076,17.557524184796073,107.6,0.1631740165873241,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
337676,1,0,61.281811,0,0.0,0.0,437,639,10,1076,17.55822784023142,107.6,0.16318055613597973,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
342637,1,0,61.281921,0,0.0,0.0,437,639,10,1076,17.558196323512767,107.6,0.16318026322967258,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
348041,1,0,61.2976,0,0.0,0.0,437,639,10,1076,17.553705202161254,107.6,0.16313852418365482,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
353801,1,0,61.273258,0,0.0,0.0,437,639,10,1076,17.56067875483298,107.6,0.16320333415272287,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
359260,1,0,61.298801,0,0.0,0.0,437,639,10,1076,17.553361280263868,107.6,0.1631353278834932,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
363453,1,0,61.29718,0,0.0,0.0,437,639,10,1076,17.553825477778908,107.6,0.16313964198679284,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
367961,1,0,61.297966,0,0.0,0.0,437,639,10,1076,17.553600391895547,107.6,0.16313755011055342,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
373001,1,0,61.300186,0,0.0,0.0,437,639,10,1076,17.552964684315967,107.6,0.16313164204754615,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
377700,1,0,61.280621,0,0.0,0.0,437,639,10,1076,17.558568801057028,107.6,0.16318372491688687,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
381979,1,0,61.28311899999999,0,0.0,0.0,437,639,10,1076,17.557853085121213,107.6,0.16317707328179562,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
386513,1,0,61.299274,0,0.0,0.0,437,639,10,1076,17.553225834289652,107.6,0.16313406909191128,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
391557,1,0,61.296429,0,0.0,0.0,437,639,10,1076,17.55404054614666,107.6,0.16314164076344478,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
396124,1,0,1.989096,0,0.0,0.0,461,443,9,904,454.477813036676,100.44444444444444,4.524668492621774,1.0406320541760723,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
396152,1,0,61.29805,0,0.0,0.0,437,639,10,1076,17.553576337257052,107.6,0.1631373265544336,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
402165,1,0,61.283253,0,0.0,0.0,437,639,10,1076,17.557814693681483,107.6,0.16317671648402868,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
407313,1,0,61.28326,0,0.0,0.0,437,639,10,1076,17.557812688163132,107.6,0.16317669784538225,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
413678,1,0,61.301361,0,0.0,0.0,437,639,10,1076,17.552628236100663,107.6,0.1631285152053965,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
418079,1,0,61.296749,0,0.0,0.0,437,639,10,1076,17.55394890518582,107.6,0.1631407890816526,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
422496,1,0,61.282825,0,0.0,0.0,437,639,10,1076,17.55793731767424,107.6,0.16317785611221414,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
427006,1,0,61.28389,0,0.0,0.0,437,639,10,1076,17.557632193387207,107.6,0.16317502038463946,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
432640,1,0,61.304176,0,0.0,0.0,437,639,10,1076,17.55182224454008,107.6,0.16312102457751002,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
439530,1,0,61.296967,0,0.0,0.0,437,639,10,1076,17.553886475329193,107.6,0.16314020887852412,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
444624,1,0,61.29894300000001,0,0.0,0.0,437,639,10,1076,17.55332061761652,107.6,0.1631349499778487,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
449251,1,0,61.282963,0,0.0,0.0,437,639,10,1076,17.55789777984462,107.6,0.163177488660266,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
453287,1,0,61.283089,0,0.0,0.0,437,639,10,1076,17.557861680242652,107.6,0.16317715316210646,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
458535,1,0,61.298492,0,0.0,0.0,437,639,10,1076,17.55344976512636,107.6,0.16313615023351635,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
464351,1,0,61.28289,0,0.0,0.0,437,639,10,1076,17.557918694761295,107.6,0.163177683036815,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
468753,1,0,61.282745,0,0.0,0.0,437,639,10,1076,17.557960238236717,107.6,0.16317806912859406,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
473174,1,0,61.28358100000001,0,0.0,0.0,437,639,10,1076,17.55772072131359,107.6,0.16317584313488467,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
476794,1,0,61.288525,0,0.0,0.0,437,639,10,1076,17.5563043816114,107.6,0.16316268012650004,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
483690,1,0,61.300766,0,0.0,0.0,437,639,10,1076,17.552798606138133,107.6,0.163130098570057,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
490509,1,0,61.298523,0,0.0,0.0,437,639,10,1076,17.553440887963973,107.6,0.1631360677320072,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
499814,1,0,61.284218,0,0.0,0.0,437,639,10,1076,17.557538222972838,107.6,0.1631741470536509,0.6838810641627543,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
